"falafel"||"cauliflower"||"melopita" 
"Miquel's Pizza"||"potato au gratin"||"mom's peach cobbler" 
"haggis"||"Chef John 5-spice carrots"||"" 
"falafel"||"broccali"||"chili chocolate tart" 
"haggis"||"cauliflower"||"saffron kheer" 
"green coconut curry"||"potato au gratin"||"mom's peach cobbler" 
"hasenpfeffer"||"cauliflower"||"cinnamon brioche" 
"green coconut curry"||"potato au gratin"||"melopita" 
"green coconut curry"||"cauliflower"||"cherry ice cream" 
"haggis"||"roasted green beans"||"tavuk göğsü" 
"hasenpfeffer"||"brussels sprouts"||"Mizu Shingen Mochi" 
"potato pie"||"broccali"||"chili chocolate tart" 
"ciopinno"||""||"melopita" 
"falafel"||"Chef John 5-spice carrots"||"saffron kheer" 
"hasenpfeffer"||"kale"||"Mizu Shingen Mochi" 
"Miquel's Pizza"||"Chef John 5-spice carrots"||"mom's peach cobbler" 
"hasenpfeffer"||"broccali"||"chili chocolate tart" 
"haggis"||""||"chili chocolate tart" 
"ciopinno"||"Chef John 5-spice carrots"||"chili chocolate tart" 
"hasenpfeffer"||"cauliflower"||"cherry ice cream" 
"green coconut curry"||""||"" 
""||""||"tavuk göğsü" 
"falafel"||"roasted green beans"||"" 
"green coconut curry"||"potato au gratin"||"chili chocolate tart" 
"falafel"||"roasted green beans"||"saffron kheer" 
"Miquel's Pizza"||"peas"||"Mizu Shingen Mochi" 
"Miquel's Pizza"||"potato au gratin"||"melopita" 
"ciopinno"||"brussels sprouts"||"creme brulee" 
"Miquel's Pizza"||"peas"||"saffron kheer" 
"ciopinno"||"peas"||"saffron kheer" 
"potato pie"||"roasted green beans"||"creme brulee" 
""||"kale"||"cinnamon brioche" 
"ciopinno"||"brussels sprouts"||"cinnamon brioche" 
"falafel"||"cauliflower"||"chili chocolate tart" 
"pesce con vivo"||"kale"||"Mizu Shingen Mochi" 
"haggis"||"kale"||"melopita" 
"Miquel's Pizza"||"brussels sprouts"||"melopita" 
"Miquel's Pizza"||"kale"||"melopita" 
"haggis"||"broccali"||"" 
"falafel"||"brussels sprouts"||"tavuk göğsü" 
"pesce con vivo"||"brussels sprouts"||"cinnamon brioche" 
"haggis"||"roasted green beans"||"chili chocolate tart" 
"green coconut curry"||"peas"||"mom's peach cobbler" 
""||"roasted green beans"||"" 
"Miquel's Pizza"||"peas"||"cherry ice cream" 
"green coconut curry"||"broccali"||"Mizu Shingen Mochi" 
"green coconut curry"||"potato au gratin"||"chili chocolate tart" 
"haggis"||"brussels sprouts"||"chili chocolate tart" 
"ciopinno"||"kale"||"mom's peach cobbler" 
"potato pie"||"roasted green beans"||"tavuk göğsü" 
"pesce con vivo"||"kale"||"mom's peach cobbler" 
"haggis"||"Chef John 5-spice carrots"||"tavuk göğsü" 
"pesce con vivo"||"peas"||"creme brulee" 
"Miquel's Pizza"||"brussels sprouts"||"" 
"Miquel's Pizza"||"brussels sprouts"||"melopita" 
"Miquel's Pizza"||"cauliflower"||"mom's peach cobbler" 
"hasenpfeffer"||"Chef John 5-spice carrots"||"cherry ice cream" 
"hasenpfeffer"||"Chef John 5-spice carrots"||"saffron kheer" 
"pesce con vivo"||"roasted green beans"||"saffron kheer" 
"haggis"||"Chef John 5-spice carrots"||"Mizu Shingen Mochi" 
"green coconut curry"||"cauliflower"||"" 
"hasenpfeffer"||""||"Mizu Shingen Mochi" 
"falafel"||"Chef John 5-spice carrots"||"" 
"pesce con vivo"||"peas"||"saffron kheer" 
"falafel"||"brussels sprouts"||"cherry ice cream" 
"pesce con vivo"||"Chef John 5-spice carrots"||"saffron kheer" 
"haggis"||"potato au gratin"||"tavuk göğsü" 
""||"cauliflower"||"cherry ice cream" 
"potato pie"||"broccali"||"cherry ice cream" 
""||"potato au gratin"||"cherry ice cream" 
""||"brussels sprouts"||"cinnamon brioche" 
""||"cauliflower"||"" 
"hasenpfeffer"||"brussels sprouts"||"cherry ice cream" 
"pesce con vivo"||"roasted green beans"||"melopita" 
"falafel"||"kale"||"chili chocolate tart" 
"falafel"||"kale"||"cherry ice cream" 
"ciopinno"||"cauliflower"||"cherry ice cream" 
"green coconut curry"||"kale"||"melopita" 
"falafel"||"potato au gratin"||"" 
"green coconut curry"||"cauliflower"||"cinnamon brioche" 
"falafel"||"kale"||"" 
"green coconut curry"||"potato au gratin"||"Mizu Shingen Mochi" 
"haggis"||""||"" 
"green coconut curry"||"broccali"||"creme brulee" 
"pesce con vivo"||"Chef John 5-spice carrots"||"melopita" 
"haggis"||"peas"||"cherry ice cream" 
"ciopinno"||"potato au gratin"||"creme brulee" 
"ciopinno"||"brussels sprouts"||"chili chocolate tart" 
"Miquel's Pizza"||"broccali"||"saffron kheer" 
"pesce con vivo"||"Chef John 5-spice carrots"||"" 
"potato pie"||"roasted green beans"||"cinnamon brioche" 
"green coconut curry"||"potato au gratin"||"cherry ice cream" 
""||"kale"||"cherry ice cream" 
"ciopinno"||"brussels sprouts"||"tavuk göğsü" 
"green coconut curry"||"cauliflower"||"cherry ice cream" 
""||"broccali"||"melopita" 
"ciopinno"||"roasted green beans"||"Mizu Shingen Mochi" 
"Miquel's Pizza"||"cauliflower"||"mom's peach cobbler" 
"potato pie"||"peas"||"melopita" 
"pesce con vivo"||"potato au gratin"||"cherry ice cream" 
"Miquel's Pizza"||""||"Mizu Shingen Mochi" 
"falafel"||"Chef John 5-spice carrots"||"chili chocolate tart" 
"potato pie"||"peas"||"chili chocolate tart" 
"potato pie"||"Chef John 5-spice carrots"||"saffron kheer" 
"green coconut curry"||"kale"||"tavuk göğsü" 
"pesce con vivo"||"peas"||"tavuk göğsü" 
""||""||"cherry ice cream" 
"pesce con vivo"||"brussels sprouts"||"saffron kheer" 
"haggis"||"Chef John 5-spice carrots"||"cherry ice cream" 
"pesce con vivo"||""||"chili chocolate tart" 
"ciopinno"||"peas"||"cinnamon brioche" 
"Miquel's Pizza"||"cauliflower"||"" 
"pesce con vivo"||"roasted green beans"||"Mizu Shingen Mochi" 
""||"cauliflower"||"mom's peach cobbler" 
"hasenpfeffer"||""||"cinnamon brioche" 
"ciopinno"||"Chef John 5-spice carrots"||"mom's peach cobbler" 
"Miquel's Pizza"||"potato au gratin"||"tavuk göğsü" 
"potato pie"||"peas"||"chili chocolate tart" 
"Miquel's Pizza"||""||"mom's peach cobbler" 
"green coconut curry"||"brussels sprouts"||"melopita" 
"hasenpfeffer"||"cauliflower"||"cherry ice cream" 
"potato pie"||""||"saffron kheer" 
""||"kale"||"chili chocolate tart" 
"hasenpfeffer"||"potato au gratin"||"" 
"potato pie"||""||"Mizu Shingen Mochi" 
""||"Chef John 5-spice carrots"||"chili chocolate tart" 
"haggis"||"brussels sprouts"||"chili chocolate tart" 
"pesce con vivo"||"peas"||"saffron kheer" 
"hasenpfeffer"||"brussels sprouts"||"cinnamon brioche" 
"pesce con vivo"||"peas"||"cherry ice cream" 
"green coconut curry"||"kale"||"Mizu Shingen Mochi" 
"pesce con vivo"||"potato au gratin"||"Mizu Shingen Mochi" 
"hasenpfeffer"||"roasted green beans"||"cherry ice cream" 
"ciopinno"||"potato au gratin"||"creme brulee" 
""||"kale"||"mom's peach cobbler" 
