hasenpfeffer||broccali||melopita 
haggis||brussels sprouts||mom's peach cobbler 
||roasted green beans||saffron kheer 
||potato au gratin||mom's peach cobbler 
green coconut curry||cauliflower|| 
||peas||cinnamon brioche 
haggis||Chef John 5-spice carrots||green chile chocolate tart 
hasenpfeffer||Chef John 5-spice carrots||saffron kheer 
green coconut curry||potato au gratin|| 
green coconut curry||||saffron kheer 
Miquel's Pizza||broccali||creme brulee 
ciopinno||peas||mom's peach cobbler 
Miquel's Pizza||peas||melopita 
||potato au gratin||cherry ice cream 
ciopinno||||melopita 
ciopinno||Chef John 5-spice carrots||mom's peach cobbler 
ciopinno||Chef John 5-spice carrots||green chile chocolate tart 
||brussels sprouts|| 
||kale||melopita 
ciopinno||peas||mom's peach cobbler 
falafel||broccali||saffron kheer 
pesce con vivo||cauliflower||creme brulee 
falafel||brussels sprouts||creme brulee 
green coconut curry||||green chile chocolate tart 
hasenpfeffer||brussels sprouts||saffron kheer 
Miquel's Pizza||brussels sprouts||cinnamon brioche 
||roasted green beans||melopita 
haggis||brussels sprouts||cherry ice cream 
||potato au gratin||saffron kheer 
||brussels sprouts|| 
pesce con vivo||roasted green beans||mom's peach cobbler 
potato pie||peas||Mizu Shingen Mochi 
haggis||Chef John 5-spice carrots||saffron kheer 
pesce con vivo||peas||melopita 
||potato au gratin|| 
ciopinno||kale||cherry ice cream 
haggis||cauliflower||melopita 
pesce con vivo|||| 
pesce con vivo||Chef John 5-spice carrots||saffron kheer 
Miquel's Pizza||brussels sprouts|| 
falafel||cauliflower||melopita 
haggis||roasted green beans||saffron kheer 
green coconut curry||peas||creme brulee 
hasenpfeffer||cauliflower||creme brulee 
haggis||cauliflower||saffron kheer 
potato pie||cauliflower||creme brulee 
hasenpfeffer||potato au gratin||mom's peach cobbler 
||peas||creme brulee 
Miquel's Pizza||brussels sprouts||melopita 
haggis||||green chile chocolate tart 
potato pie||brussels sprouts||creme brulee 
falafel||||cherry ice cream 
ciopinno||kale||green chile chocolate tart 
falafel||kale||mom's peach cobbler 
haggis||peas||cherry ice cream 
green coconut curry||cauliflower||cinnamon brioche 
ciopinno||potato au gratin||saffron kheer 
Miquel's Pizza||brussels sprouts||cinnamon brioche 
green coconut curry||||green chile chocolate tart 
||kale||saffron kheer 
||||creme brulee 
green coconut curry||peas||melopita 
potato pie||kale||green chile chocolate tart 
ciopinno||roasted green beans||saffron kheer 
||kale|| 
haggis||kale||saffron kheer 
haggis||broccali||cinnamon brioche 
hasenpfeffer||roasted green beans||mom's peach cobbler 
Miquel's Pizza||Chef John 5-spice carrots||cherry ice cream 
falafel||||melopita 
||potato au gratin||melopita 
potato pie||cauliflower||Mizu Shingen Mochi 
green coconut curry||cauliflower||green chile chocolate tart 
potato pie||cauliflower||cinnamon brioche 
pesce con vivo||Chef John 5-spice carrots|| 
potato pie||Chef John 5-spice carrots||saffron kheer 
Miquel's Pizza||||cinnamon brioche 
potato pie||brussels sprouts||green chile chocolate tart 
Miquel's Pizza||potato au gratin|| 
Miquel's Pizza||peas||saffron kheer 
pesce con vivo||peas||saffron kheer 
haggis||||cherry ice cream 
haggis||cauliflower||mom's peach cobbler 
green coconut curry||peas||Mizu Shingen Mochi 
pesce con vivo||brussels sprouts||melopita 
pesce con vivo||cauliflower||cherry ice cream 
falafel||peas||Mizu Shingen Mochi 
potato pie||cauliflower||cinnamon brioche 
green coconut curry||kale||melopita 
green coconut curry||peas||creme brulee 
haggis||kale||saffron kheer 
potato pie||Chef John 5-spice carrots||mom's peach cobbler 
potato pie||peas||Mizu Shingen Mochi 
pesce con vivo||kale|| 
green coconut curry||Chef John 5-spice carrots|| 
||brussels sprouts||saffron kheer 
Miquel's Pizza||brussels sprouts||melopita 
hasenpfeffer||kale||mom's peach cobbler 
falafel||||melopita 
green coconut curry||kale||creme brulee 
potato pie||Chef John 5-spice carrots||cherry ice cream 
||cauliflower||creme brulee 
hasenpfeffer||Chef John 5-spice carrots||cinnamon brioche 
pesce con vivo||kale||creme brulee 
haggis||peas||saffron kheer 
hasenpfeffer||Chef John 5-spice carrots|| 
pesce con vivo||roasted green beans||cherry ice cream 
ciopinno||cauliflower||green chile chocolate tart 
hasenpfeffer||brussels sprouts||mom's peach cobbler 
ciopinno||roasted green beans||mom's peach cobbler 
Miquel's Pizza||||Mizu Shingen Mochi 
green coconut curry||kale|| 
haggis||||mom's peach cobbler 
hasenpfeffer||broccali||cinnamon brioche 
hasenpfeffer||peas||saffron kheer 
pesce con vivo||peas||cherry ice cream 
potato pie||potato au gratin||cinnamon brioche 
Miquel's Pizza||peas||cherry ice cream 
falafel||Chef John 5-spice carrots||saffron kheer 
falafel||potato au gratin|| 
hasenpfeffer||brussels sprouts||creme brulee 
pesce con vivo||kale||melopita 
haggis||||saffron kheer 
potato pie||potato au gratin||green chile chocolate tart 
ciopinno||||Mizu Shingen Mochi 
pesce con vivo||kale||Mizu Shingen Mochi 
hasenpfeffer||roasted green beans||Mizu Shingen Mochi 
falafel||kale||green chile chocolate tart 
haggis||brussels sprouts||Mizu Shingen Mochi 
||brussels sprouts||cinnamon brioche 
haggis||potato au gratin||mom's peach cobbler 
||roasted green beans|| 
ciopinno||broccali||Mizu Shingen Mochi 
green coconut curry||Chef John 5-spice carrots||mom's peach cobbler 
pesce con vivo||cauliflower||green chile chocolate tart 
Miquel's Pizza||peas||mom's peach cobbler 
||cauliflower||creme brulee 
||Chef John 5-spice carrots|| 
potato pie||broccali||saffron kheer 
potato pie||roasted green beans||saffron kheer 
pesce con vivo||potato au gratin|| 
green coconut curry||potato au gratin||melopita 
||kale||mom's peach cobbler 
pesce con vivo||potato au gratin||saffron kheer 
falafel||kale||melopita 
falafel||potato au gratin||Mizu Shingen Mochi 
potato pie||Chef John 5-spice carrots||green chile chocolate tart 
potato pie||broccali||green chile chocolate tart 
||potato au gratin||cinnamon brioche 
haggis||Chef John 5-spice carrots||melopita 
potato pie||Chef John 5-spice carrots|| 
green coconut curry||brussels sprouts||cinnamon brioche 
ciopinno||broccali||melopita 
haggis||roasted green beans||cherry ice cream 
falafel||cauliflower||mom's peach cobbler 
potato pie||peas||mom's peach cobbler 
green coconut curry||kale||green chile chocolate tart 
||potato au gratin||saffron kheer 
potato pie||Chef John 5-spice carrots||cinnamon brioche 
hasenpfeffer||brussels sprouts||Mizu Shingen Mochi 
Miquel's Pizza||brussels sprouts||green chile chocolate tart 
||broccali||melopita 
potato pie||||Mizu Shingen Mochi 
potato pie||brussels sprouts||cinnamon brioche 
ciopinno||cauliflower||melopita 
green coconut curry||broccali||Mizu Shingen Mochi 
potato pie||roasted green beans|| 
pesce con vivo||cauliflower||green chile chocolate tart 
potato pie||||melopita 
hasenpfeffer||kale||Mizu Shingen Mochi 
ciopinno|||| 
potato pie||potato au gratin||cinnamon brioche 
Miquel's Pizza||cauliflower||saffron kheer 
Miquel's Pizza||peas||creme brulee 
green coconut curry||kale||cinnamon brioche 
ciopinno||||mom's peach cobbler 
ciopinno||Chef John 5-spice carrots||creme brulee 
pesce con vivo||cauliflower||mom's peach cobbler 
green coconut curry||kale||cinnamon brioche 
green coconut curry||brussels sprouts||Mizu Shingen Mochi 
Miquel's Pizza||cauliflower|| 
Miquel's Pizza||brussels sprouts||saffron kheer 
pesce con vivo||||cherry ice cream 
haggis||Chef John 5-spice carrots||melopita 
Miquel's Pizza||broccali||melopita 
Miquel's Pizza||broccali||mom's peach cobbler 
pesce con vivo|||| 
green coconut curry||brussels sprouts||mom's peach cobbler 
Miquel's Pizza||potato au gratin||cinnamon brioche 
Miquel's Pizza||brussels sprouts|| 
haggis||brussels sprouts||melopita 
hasenpfeffer||potato au gratin||mom's peach cobbler 
haggis||roasted green beans||cherry ice cream 
haggis||peas|| 
haggis||cauliflower||mom's peach cobbler 
hasenpfeffer||kale||saffron kheer 
hasenpfeffer||kale||green chile chocolate tart 
Miquel's Pizza||||cinnamon brioche 
pesce con vivo||potato au gratin||mom's peach cobbler 
falafel||roasted green beans||cinnamon brioche 
pesce con vivo||roasted green beans||melopita 
green coconut curry||cauliflower||cherry ice cream 
||potato au gratin||mom's peach cobbler 
falafel||brussels sprouts||melopita 
haggis||brussels sprouts||creme brulee 
haggis||kale||cherry ice cream 
green coconut curry||kale||Mizu Shingen Mochi 
pesce con vivo||||green chile chocolate tart 
falafel||potato au gratin|| 
potato pie||Chef John 5-spice carrots||cherry ice cream 
potato pie||||melopita 
pesce con vivo||potato au gratin||mom's peach cobbler 
||roasted green beans||cinnamon brioche 
Miquel's Pizza||||cherry ice cream 
haggis||kale||mom's peach cobbler 
green coconut curry||brussels sprouts||melopita 
||brussels sprouts||cherry ice cream 
||potato au gratin||green chile chocolate tart 
falafel||kale||creme brulee 
hasenpfeffer||brussels sprouts||cherry ice cream 
